Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,-2.0,-8.0,-0.003282672529373147,-0.03000000000030558,-0.4950063243431482
-3.0,-1.8000000006743975,-8.0,-0.003313957738762381,-0.040000000000305576,-0.49488885081896067
-3.0,-1.600000000261,-8.0,-0.003352994789028243,-0.05000000000030557,-0.4953306057481657
-3.0,-1.3999999995129109,-8.0,-0.003401611105344679,-0.06500000000030556,-0.4951897814397714
-3.0,-1.200000000330522,-8.0,-0.003462021340911781,-0.08000000000030558,-0.4958494047950519
-3.0,-1.0,-8.0,-0.0035368915289441384,-0.1050000000003056,-0.4949360791501429
-3.0,-0.8000000001263549,-8.0,-0.003629408176829626,-0.13000000000030562,-0.49510771790662783
-3.0,-0.5999999999152085,-8.0,-0.0037433521410512936,-0.16000000000030565,-0.49524982759089964
-3.0,-0.3999999999492702,-8.0,-0.0038831784832538407,-0.20000000000030568,-0.49424209732663327
-3.0,-0.19999999998636683,-8.0,-0.0040541062127090076,-0.2500000000003057,-0.49220306960815874
-3.0,0.0,-8.0,-0.004262226145578304,-0.3100000000003057,-0.48922098495024124
-3.0,0.20000000001065574,-8.0,-0.004514640682816151,-0.3800000000003058,-0.4853544357493784
-3.0,1.0,-8.0,-0.00615753298483841,-0.8100000000003061,-0.450241969963265
-3.0,2.0,-8.0,-0.010818380931135095,-1.8300000000002885,-0.3569982891659405
-3.0,3.0,-8.0,-0.021670967852154083,-3.555000000000252,-0.26447509086276344
-3.0,4.0,-8.0,-0.04439748556842043,-5.960000000000202,-0.18854474092346377
-3.0,5.0,-8.0,-0.07757347608866555,-8.500000000000236,-0.13693110892151053
-3.0,6.0,-8.0,-0.10302845525021816,-10.020000000000474,-0.12103339318335873
-3.0,1.1999999999996949,-8.0,-0.006791077426388611,-0.9600000000003064,-0.43625972423894727
-3.0,2.199999999999969,-8.0,-0.01234228392734275,-2.1150000000002827,-0.3364194108332513
-3.0,3.199999999999996,-8.0,-0.0250673253586002,-3.9850000000002432,-0.2488211451819351
-3.0,4.199999999999999,-8.0,-0.05064642418820249,-6.500000000000188,-0.17485745230515642
-3.0,5.2,-8.0,-0.08381091842358518,-8.900000000000299,-0.13176682266211764
-3.0,0.3999999999983436,-8.0,-0.004819654738682221,-0.4600000000003059,-0.48062711051462825
-3.0,1.4000000000000725,-8.0,-0.007548807248245831,-1.1400000000003032,-0.4183542681694438
-3.0,2.4000000000000727,-8.0,-0.01414366442877966,-2.430000000000276,-0.31673156674685965
-3.0,3.4000000000000035,-8.0,-0.029004093127090364,-4.440000000000234,-0.23356566824278388
-3.0,4.4,-8.0,-0.05728034567802776,-7.035000000000178,-0.16275006015720087
-3.0,5.4,-8.0,-0.08953122664351656,-9.255000000000354,-0.1277366994187701
-3.0,0.5999999999961848,-8.0,-0.005187039282164756,-0.5600000000003059,-0.47268913462612927
-3.0,1.5999999999994576,-8.0,-0.008454033713738488,-1.3400000000002992,-0.39941751696772126
-3.0,2.600000000000003,-8.0,-0.01626555730111016,-2.7800000000002685,-0.29776679420378394
